price_date,btc_eur,btc_source,gold_eur,gold_source,sp500_eur,sp500_source,ibex35_eur,ibex35_source
2013-05-01,89.13400000,stooq:btceur,1105.78017143,stooq:xauusd/eurusd,1200.56132898,stooq:^spx/eurusd,8419.00000000,stooq:^ibex
2013-06-01,98.02500000,stooq:btceur,1065.77408433,stooq:xauusd/eurusd,1254.80147738,stooq:^spx/eurusd,8320.60000000,stooq:^ibex
2013-07-01,67.80000000,stooq:btceur,958.79650896,stooq:xauusd/eurusd,1236.38033992,stooq:^spx/eurusd,7907.10000000,stooq:^ibex
2013-08-01,79.08600000,stooq:btceur,991.92278577,stooq:xauusd/eurusd,1292.10446631,stooq:^spx/eurusd,8540.20000000,stooq:^ibex
2013-09-01,102.92000000,stooq:btceur,1054.76694915,stooq:xauusd/eurusd,1235.60078692,stooq:^spx/eurusd,8290.50000000,stooq:^ibex
2013-10-01,104.41000000,stooq:btceur,951.89676847,stooq:xauusd/eurusd,1253.42009909,stooq:^spx/eurusd,9341.50000000,stooq:^ibex
2013-11-01,158.61000000,stooq:btceur,975.83061406,stooq:xauusd/eurusd,1306.46692376,stooq:^spx/eurusd,9838.30000000,stooq:^ibex
2013-12-01,852.44000000,stooq:btceur,922.98292108,stooq:xauusd/eurusd,1329.36542992,stooq:^spx/eurusd,9837.60000000,stooq:^ibex
2014-01-01,547.71000000,stooq:btceur,875.21442070,stooq:xauusd/eurusd,1343.48015700,stooq:^spx/eurusd,9916.70000000,stooq:^ibex
2014-02-01,609.95000000,stooq:btceur,922.99421622,stooq:xauusd/eurusd,1321.80780068,stooq:^spx/eurusd,9920.20000000,stooq:^ibex
2014-03-01,406.40000000,stooq:btceur,958.90748388,stooq:xauusd/eurusd,1347.13468087,stooq:^spx/eurusd,10114.20000000,stooq:^ibex
2014-04-01,352.91000000,stooq:btceur,927.20220402,stooq:xauusd/eurusd,1367.01225259,stooq:^spx/eurusd,10463.10000000,stooq:^ibex
2014-05-01,328.88000000,stooq:btceur,925.93928031,stooq:xauusd/eurusd,1358.39042331,stooq:^spx/eurusd,10459.00000000,stooq:^ibex
2014-06-01,446.63000000,stooq:btceur,917.43085614,stooq:xauusd/eurusd,1411.17306140,stooq:^spx/eurusd,10798.70000000,stooq:^ibex
2014-07-01,470.68000000,stooq:btceur,969.68123995,stooq:xauusd/eurusd,1442.69630063,stooq:^spx/eurusd,11007.80000000,stooq:^ibex
2014-08-01,444.74000000,stooq:btceur,963.13515124,stooq:xauusd/eurusd,1434.32424378,stooq:^spx/eurusd,10514.00000000,stooq:^ibex
2014-09-01,365.89000000,stooq:btceur,980.13406459,stooq:xauusd/eurusd,1526.02833638,stooq:^spx/eurusd,10746.50000000,stooq:^ibex
2014-10-01,302.46000000,stooq:btceur,961.75305120,stooq:xauusd/eurusd,1542.36804565,stooq:^spx/eurusd,10753.20000000,stooq:^ibex
2014-11-01,271.54000000,stooq:btceur,935.75820490,stooq:xauusd/eurusd,1611.47488621,stooq:^spx/eurusd,10477.80000000,stooq:^ibex
2014-12-01,304.30000000,stooq:btceur,971.25561257,stooq:xauusd/eurusd,1646.44002566,stooq:^spx/eurusd,10672.80000000,stooq:^ibex
2015-01-01,261.89000000,stooq:btceur,977.68595041,stooq:xauusd/eurusd,1701.57024793,stooq:^spx/eurusd,10279.50000000,stooq:^ibex
2015-02-01,203.27000000,stooq:btceur,1136.30731103,stooq:xauusd/eurusd,1765.79040538,stooq:^spx/eurusd,10403.30000000,stooq:^ibex
2015-03-01,227.35000000,stooq:btceur,1082.82241487,stooq:xauusd/eurusd,1880.86513540,stooq:^spx/eurusd,11178.30000000,stooq:^ibex
2015-04-01,228.90000000,stooq:btceur,1118.47311229,stooq:xauusd/eurusd,1912.96554286,stooq:^spx/eurusd,11569.80000000,stooq:^ibex
2015-05-01,209.34000000,stooq:btceur,1050.52622191,stooq:xauusd/eurusd,1880.38708527,stooq:^spx/eurusd,11385.00000000,stooq:^ibex
2015-06-01,203.12000000,stooq:btceur,1089.17780626,stooq:xauusd/eurusd,1933.46456693,stooq:^spx/eurusd,11238.10000000,stooq:^ibex
2015-07-01,234.21000000,stooq:btceur,1057.70761715,stooq:xauusd/eurusd,1879.33779627,stooq:^spx/eurusd,10911.50000000,stooq:^ibex
2015-08-01,259.73000000,stooq:btceur,997.47723133,stooq:xauusd/eurusd,1916.06557377,stooq:^spx/eurusd,11180.70000000,stooq:^ibex
2015-09-01,200.46000000,stooq:btceur,1007.99221996,stooq:xauusd/eurusd,1692.02546194,stooq:^spx/eurusd,9992.80000000,stooq:^ibex
2015-10-01,212.61000000,stooq:btceur,995.86126754,stooq:xauusd/eurusd,1719.69250022,stooq:^spx/eurusd,9567.30000000,stooq:^ibex
2015-11-01,290.67700000,stooq:btceur,1038.11757007,stooq:xauusd/eurusd,1889.84622096,stooq:^spx/eurusd,10360.70000000,stooq:^ibex
2015-12-01,341.81200000,stooq:btceur,1006.34352941,stooq:xauusd/eurusd,1978.94588235,stooq:^spx/eurusd,10379.20000000,stooq:^ibex
2016-01-01,396.38800000,stooq:btceur,977.35831684,stooq:xauusd/eurusd,1881.99438332,stooq:^spx/eurusd,9544.20000000,stooq:^ibex
2016-02-01,340.44600000,stooq:btceur,1035.74937785,stooq:xauusd/eurusd,1780.93060415,stooq:^spx/eurusd,8788.50000000,stooq:^ibex
2016-03-01,397.71400000,stooq:btceur,1134.28358470,stooq:xauusd/eurusd,1820.46138415,stooq:^spx/eurusd,8611.00000000,stooq:^ibex
2016-04-01,365.32400000,stooq:btceur,1074.34134864,stooq:xauusd/eurusd,1819.71257254,stooq:^spx/eurusd,8602.30000000,stooq:^ibex
2016-05-01,398.14100000,stooq:btceur,1129.64888217,stooq:xauusd/eurusd,1804.33851987,stooq:^spx/eurusd,9025.70000000,stooq:^ibex
2016-06-01,479.17600000,stooq:btceur,1084.71076227,stooq:xauusd/eurusd,1876.69738877,stooq:^spx/eurusd,8916.90000000,stooq:^ibex
2016-07-01,608.17900000,stooq:btceur,1206.93650965,stooq:xauusd/eurusd,1889.03560778,stooq:^spx/eurusd,8268.90000000,stooq:^ibex
2016-08-01,552.86400000,stooq:btceur,1212.11605471,stooq:xauusd/eurusd,1944.55243333,stooq:^spx/eurusd,8513.40000000,stooq:^ibex
2016-09-01,509.81200000,stooq:btceur,1173.40395127,stooq:xauusd/eurusd,1938.89107213,stooq:^spx/eurusd,8762.80000000,stooq:^ibex
2016-10-01,539.13500000,stooq:btceur,1172.92490119,stooq:xauusd/eurusd,1930.23359328,stooq:^spx/eurusd,8779.40000000,stooq:^ibex
2016-11-01,658.26800000,stooq:btceur,1165.27228820,stooq:xauusd/eurusd,1909.96988143,stooq:^spx/eurusd,9040.70000000,stooq:^ibex
2016-12-01,706.56700000,stooq:btceur,1099.18471887,stooq:xauusd/eurusd,2055.63425869,stooq:^spx/eurusd,8669.20000000,stooq:^ibex
2017-01-01,912.63100000,stooq:btceur,1093.52196716,stooq:xauusd/eurusd,2127.19481605,stooq:^spx/eurusd,9352.10000000,stooq:^ibex
2017-02-01,916.00700000,stooq:btceur,1123.44784672,stooq:xauusd/eurusd,2117.10456660,stooq:^spx/eurusd,9330.80000000,stooq:^ibex
2017-03-01,1161.74000000,stooq:btceur,1183.61718461,stooq:xauusd/eurusd,2270.77232189,stooq:^spx/eurusd,9751.50000000,stooq:^ibex
2017-04-01,1009.47000000,stooq:btceur,1169.21793418,stooq:xauusd/eurusd,2214.79391445,stooq:^spx/eurusd,10462.90000000,stooq:^ibex
2017-05-01,1303.81000000,stooq:btceur,1152.62153383,stooq:xauusd/eurusd,2191.49033785,stooq:^spx/eurusd,10715.80000000,stooq:^ibex
2017-06-01,2174.40000000,stooq:btceur,1128.13218955,stooq:xauusd/eurusd,2166.94904674,stooq:^spx/eurusd,10881.00000000,stooq:^ibex
2017-07-01,2229.15000000,stooq:btceur,1086.96565855,stooq:xauusd/eurusd,2121.96381976,stooq:^spx/eurusd,10444.50000000,stooq:^ibex
2017-08-01,2307.98000000,stooq:btceur,1074.59829407,stooq:xauusd/eurusd,2097.55291846,stooq:^spx/eurusd,10586.70000000,stooq:^ibex
2017-09-01,4123.53000000,stooq:btceur,1117.34164946,stooq:xauusd/eurusd,2087.36145645,stooq:^spx/eurusd,10325.50000000,stooq:^ibex
2017-10-01,3525.08000000,stooq:btceur,1083.40947547,stooq:xauusd/eurusd,2131.43824027,stooq:^spx/eurusd,10381.50000000,stooq:^ibex
2017-11-01,5734.11000000,stooq:btceur,1097.10041398,stooq:xauusd/eurusd,2219.96918813,stooq:^spx/eurusd,10506.70000000,stooq:^ibex
2017-12-01,9069.80000000,stooq:btceur,1076.84676050,stooq:xauusd/eurusd,2221.51036675,stooq:^spx/eurusd,10085.00000000,stooq:^ibex
2018-01-01,11972.00000000,stooq:btceur,1086.04498071,stooq:xauusd/eurusd,2227.87837376,stooq:^spx/eurusd,10043.90000000,stooq:^ibex
